stdio    D E:\LIBS\LIBS71Build\allegro\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Dropbox\Programs\SwiftForth_3.5.3\SwiftForth\bin\allegro5.cfg r
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23094] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23096] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23098] added dtor for sample_instance 2205DDF8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23100] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23102] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23104] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23107] added dtor for sample_instance 2205E710, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23110] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23113] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23115] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23117] added dtor for sample_instance 2205E820, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23119] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23122] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23124] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23126] added dtor for sample_instance 2205E930, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23128] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23130] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23132] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23134] added dtor for sample_instance 2205EA40, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23136] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23138] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23140] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23142] added dtor for sample_instance 2205EB50, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23145] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23146] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23148] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23150] added dtor for sample_instance 2205EC60, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23153] sample matrix:
